url	game_start_time	home_team_name	home_team_score	visitor_team_name	visitor_team_score	overtime
/boxscores/201210300CLE.html	7:00 pm	Cleveland Cavaliers		Washington Wizards		
/boxscores/201210300LAL.html	7:30 pm	Los Angeles Lakers		Dallas Mavericks		
/boxscores/201210300MIA.html	8:00 pm	Miami Heat		Boston Celtics		
/boxscores/201210310CHI.html	7:00 pm	Chicago Bulls		Sacramento Kings		
/boxscores/201210310DET.html	7:30 pm	Detroit Pistons		Houston Rockets		
/boxscores/201210310LAC.html	7:30 pm	Los Angeles Clippers		Memphis Grizzlies		
/boxscores/201210310NOH.html	7:00 pm	New Orleans Hornets		San Antonio Spurs		
/boxscores/201210310PHI.html	7:00 pm	Philadelphia 76ers		Denver Nuggets		
/boxscores/201210310PHO.html	7:00 pm	Phoenix Suns		Golden State Warriors		
/boxscores/201210310POR.html	7:30 pm	Portland Trail Blazers		Los Angeles Lakers		
/boxscores/201210310TOR.html	7:00 pm	Toronto Raptors		Indiana Pacers		
/boxscores/201210310UTA.html	7:00 pm	Utah Jazz		Dallas Mavericks		
/boxscores/201211010SAS.html	8:30 pm	San Antonio Spurs		Oklahoma City Thunder		
/boxscores/201211020ATL.html	7:30 pm	Atlanta Hawks		Houston Rockets		
/boxscores/201211020BOS.html	7:30 pm	Boston Celtics		Milwaukee Bucks		
/boxscores/201211020CHA.html	7:00 pm	Charlotte Bobcats		Indiana Pacers		
/boxscores/201211020CLE.html	7:30 pm	Cleveland Cavaliers		Chicago Bulls		
/boxscores/201211020GSW.html	7:30 pm	Golden State Warriors		Memphis Grizzlies		
/boxscores/201211020LAL.html	7:30 pm	Los Angeles Lakers		Los Angeles Clippers		
/boxscores/201211020MIN.html	7:00 pm	Minnesota Timberwolves		Sacramento Kings		
/boxscores/201211020NOH.html	7:00 pm	New Orleans Hornets		Utah Jazz		
/boxscores/201211020NYK.html	8:00 pm	New York Knicks		Miami Heat		
/boxscores/201211020OKC.html	7:00 pm	Oklahoma City Thunder		Portland Trail Blazers		
/boxscores/201211020ORL.html	7:00 pm	Orlando Magic		Denver Nuggets		
/boxscores/201211020PHO.html	7:00 pm	Phoenix Suns		Detroit Pistons		
/boxscores/201211030BRK.html	7:30 pm	Brooklyn Nets		Toronto Raptors		
/boxscores/201211030CHI.html	7:00 pm	Chicago Bulls		New Orleans Hornets		
/boxscores/201211030DAL.html	7:30 pm	Dallas Mavericks		Charlotte Bobcats		
/boxscores/201211030HOU.html	7:00 pm	Houston Rockets		Portland Trail Blazers		
/boxscores/201211030IND.html	7:00 pm	Indiana Pacers		Sacramento Kings		
/boxscores/201211030LAC.html	7:30 pm	Los Angeles Clippers		Golden State Warriors		
/boxscores/201211030MIA.html	7:30 pm	Miami Heat		Denver Nuggets		
/boxscores/201211030MIL.html	7:30 pm	Milwaukee Bucks		Cleveland Cavaliers		
/boxscores/201211030SAS.html	7:30 pm	San Antonio Spurs		Utah Jazz		
/boxscores/201211030WAS.html	7:00 pm	Washington Wizards		Boston Celtics		
/boxscores/201211040LAL.html	6:30 pm	Los Angeles Lakers		Detroit Pistons		
/boxscores/201211040NYK.html	12:00 pm	New York Knicks		Philadelphia 76ers		
/boxscores/201211040OKC.html	6:00 pm	Oklahoma City Thunder		Atlanta Hawks		
/boxscores/201211040ORL.html	6:00 pm	Orlando Magic		Phoenix Suns		
/boxscores/201211040TOR.html	6:00 pm	Toronto Raptors		Minnesota Timberwolves		
/boxscores/201211050BRK.html	7:30 pm	Brooklyn Nets		Minnesota Timberwolves		
/boxscores/201211050DAL.html	7:30 pm	Dallas Mavericks		Portland Trail Blazers		
/boxscores/201211050LAC.html	7:30 pm	Los Angeles Clippers		Cleveland Cavaliers		
/boxscores/201211050MEM.html	7:00 pm	Memphis Grizzlies		Utah Jazz		
/boxscores/201211050MIA.html	7:30 pm	Miami Heat		Phoenix Suns		
/boxscores/201211050PHI.html	7:00 pm	Philadelphia 76ers		New York Knicks		
/boxscores/201211050SAC.html	7:00 pm	Sacramento Kings		Golden State Warriors		
/boxscores/201211050SAS.html	7:30 pm	San Antonio Spurs		Indiana Pacers		
/boxscores/201211060CHI.html	7:00 pm	Chicago Bulls		Orlando Magic		
/boxscores/201211060DEN.html	7:00 pm	Denver Nuggets		Detroit Pistons		
/boxscores/201211060OKC.html	7:00 pm	Oklahoma City Thunder		Toronto Raptors		
/boxscores/201211070ATL.html	7:30 pm	Atlanta Hawks		Indiana Pacers		
/boxscores/201211070BOS.html	7:30 pm	Boston Celtics		Washington Wizards		
/boxscores/201211070CHA.html	7:00 pm	Charlotte Bobcats		Phoenix Suns		
/boxscores/201211070DAL.html	7:30 pm	Dallas Mavericks		Toronto Raptors		
/boxscores/201211070GSW.html	7:30 pm	Golden State Warriors		Cleveland Cavaliers		
/boxscores/201211070HOU.html	7:00 pm	Houston Rockets		Denver Nuggets		
/boxscores/201211070LAC.html	7:30 pm	Los Angeles Clippers		San Antonio Spurs		
/boxscores/201211070MIA.html	7:30 pm	Miami Heat		Brooklyn Nets		
/boxscores/201211070MIL.html	7:00 pm	Milwaukee Bucks		Memphis Grizzlies		
/boxscores/201211070MIN.html	7:00 pm	Minnesota Timberwolves		Orlando Magic		
/boxscores/201211070NOH.html	7:00 pm	New Orleans Hornets		Philadelphia 76ers		
/boxscores/201211070SAC.html	7:00 pm	Sacramento Kings		Detroit Pistons		
/boxscores/201211070UTA.html	7:00 pm	Utah Jazz		Los Angeles Lakers		
/boxscores/201211080CHI.html	7:00 pm	Chicago Bulls		Oklahoma City Thunder		
/boxscores/201211080POR.html	7:30 pm	Portland Trail Blazers		Los Angeles Clippers		
/boxscores/201211090ATL.html	7:30 pm	Atlanta Hawks		Miami Heat		
/boxscores/201211090BOS.html	7:30 pm	Boston Celtics		Philadelphia 76ers		
/boxscores/201211090DEN.html	8:30 pm	Denver Nuggets		Utah Jazz		
/boxscores/201211090LAL.html	7:30 pm	Los Angeles Lakers		Golden State Warriors		
/boxscores/201211090MEM.html	7:00 pm	Memphis Grizzlies		Houston Rockets		
/boxscores/201211090MIN.html	7:00 pm	Minnesota Timberwolves		Indiana Pacers		
/boxscores/201211090NOH.html	7:00 pm	New Orleans Hornets		Charlotte Bobcats		
/boxscores/201211090NYK.html	7:30 pm	New York Knicks		Dallas Mavericks		
/boxscores/201211090OKC.html	7:00 pm	Oklahoma City Thunder		Detroit Pistons		
/boxscores/201211090ORL.html	7:00 pm	Orlando Magic		Brooklyn Nets		
/boxscores/201211090PHO.html	7:00 pm	Phoenix Suns		Cleveland Cavaliers		
/boxscores/201211090SAC.html	7:00 pm	Sacramento Kings		San Antonio Spurs		
/boxscores/201211090WAS.html	7:00 pm	Washington Wizards		Milwaukee Bucks		
/boxscores/201211100CHA.html	7:30 pm	Charlotte Bobcats		Dallas Mavericks		
/boxscores/201211100CHI.html	7:00 pm	Chicago Bulls		Minnesota Timberwolves		
/boxscores/201211100GSW.html	7:30 pm	Golden State Warriors		Denver Nuggets		
/boxscores/201211100HOU.html	7:00 pm	Houston Rockets		Detroit Pistons		
/boxscores/201211100IND.html	7:00 pm	Indiana Pacers		Washington Wizards		
/boxscores/201211100MIL.html	7:30 pm	Milwaukee Bucks		Boston Celtics		
/boxscores/201211100POR.html	7:00 pm	Portland Trail Blazers		San Antonio Spurs		
/boxscores/201211100TOR.html	7:00 pm	Toronto Raptors		Philadelphia 76ers		
/boxscores/201211100UTA.html	7:00 pm	Utah Jazz		Phoenix Suns		
/boxscores/201211110BRK.html	3:00 pm	Brooklyn Nets		Orlando Magic		
/boxscores/201211110LAC.html	12:30 pm	Los Angeles Clippers		Atlanta Hawks		
/boxscores/201211110LAL.html	6:30 pm	Los Angeles Lakers		Sacramento Kings		
/boxscores/201211110MEM.html	5:00 pm	Memphis Grizzlies		Miami Heat		
/boxscores/201211110OKC.html	6:00 pm	Oklahoma City Thunder		Cleveland Cavaliers		
/boxscores/201211120CHI.html	7:00 pm	Chicago Bulls		Boston Celtics		
/boxscores/201211120DAL.html	7:30 pm	Dallas Mavericks		Minnesota Timberwolves		
/boxscores/201211120DET.html	7:30 pm	Detroit Pistons		Oklahoma City Thunder		
/boxscores/201211120HOU.html	7:00 pm	Houston Rockets		Miami Heat		
/boxscores/201211120PHI.html	7:00 pm	Philadelphia 76ers		Milwaukee Bucks		
/boxscores/201211120PHO.html	7:00 pm	Phoenix Suns		Denver Nuggets		
/boxscores/201211120POR.html	7:00 pm	Portland Trail Blazers		Atlanta Hawks		
/boxscores/201211120TOR.html	7:00 pm	Toronto Raptors		Utah Jazz		
/boxscores/201211130BRK.html	7:30 pm	Brooklyn Nets		Cleveland Cavaliers		
/boxscores/201211130CHA.html	7:00 pm	Charlotte Bobcats		Washington Wizards		
/boxscores/201211130IND.html	7:00 pm	Indiana Pacers		Toronto Raptors		
/boxscores/201211130LAL.html	7:30 pm	Los Angeles Lakers		San Antonio Spurs		
/boxscores/201211130ORL.html	7:00 pm	Orlando Magic		New York Knicks		
/boxscores/201211130SAC.html	7:00 pm	Sacramento Kings		Portland Trail Blazers		
/boxscores/201211140BOS.html	7:30 pm	Boston Celtics		Utah Jazz		
/boxscores/201211140DAL.html	7:30 pm	Dallas Mavericks		Washington Wizards		
/boxscores/201211140GSW.html	7:30 pm	Golden State Warriors		Atlanta Hawks		
/boxscores/201211140HOU.html	7:00 pm	Houston Rockets		New Orleans Hornets		
/boxscores/201211140LAC.html	7:30 pm	Los Angeles Clippers		Miami Heat		
/boxscores/201211140MIL.html	7:00 pm	Milwaukee Bucks		Indiana Pacers		
/boxscores/201211140MIN.html	7:00 pm	Minnesota Timberwolves		Charlotte Bobcats		
/boxscores/201211140OKC.html	7:00 pm	Oklahoma City Thunder		Memphis Grizzlies		
/boxscores/201211140PHI.html	7:00 pm	Philadelphia 76ers		Detroit Pistons		
/boxscores/201211140PHO.html	7:00 pm	Phoenix Suns		Chicago Bulls		
/boxscores/201211150BRK.html	8:00 pm	Brooklyn Nets		Boston Celtics		
/boxscores/201211150DEN.html	8:30 pm	Denver Nuggets		Miami Heat		
/boxscores/201211150SAS.html	7:30 pm	San Antonio Spurs		New York Knicks		
/boxscores/201211160DET.html	7:30 pm	Detroit Pistons		Orlando Magic		
/boxscores/201211160IND.html	7:00 pm	Indiana Pacers		Dallas Mavericks		
/boxscores/201211160LAL.html	7:30 pm	Los Angeles Lakers		Phoenix Suns		
/boxscores/201211160MEM.html	8:30 pm	Memphis Grizzlies		New York Knicks		
/boxscores/201211160MIN.html	7:00 pm	Minnesota Timberwolves		Golden State Warriors		
/boxscores/201211160NOH.html	7:00 pm	New Orleans Hornets		Oklahoma City Thunder		
/boxscores/201211160PHI.html	7:00 pm	Philadelphia 76ers		Utah Jazz		
/boxscores/201211160POR.html	7:00 pm	Portland Trail Blazers		Houston Rockets		
/boxscores/201211160SAC.html	7:00 pm	Sacramento Kings		Atlanta Hawks		
/boxscores/201211170BOS.html	12:30 pm	Boston Celtics		Toronto Raptors		
/boxscores/201211170CHA.html	7:30 pm	Charlotte Bobcats		Memphis Grizzlies		
/boxscores/201211170CLE.html	7:30 pm	Cleveland Cavaliers		Dallas Mavericks		
/boxscores/201211170LAC.html	6:00 pm	Los Angeles Clippers		Chicago Bulls		
/boxscores/201211170MIL.html	7:30 pm	Milwaukee Bucks		New Orleans Hornets		
/boxscores/201211170PHO.html	7:00 pm	Phoenix Suns		Miami Heat		
/boxscores/201211170SAS.html	7:30 pm	San Antonio Spurs		Denver Nuggets		
/boxscores/201211170WAS.html	7:00 pm	Washington Wizards		Utah Jazz		
/boxscores/201211180DET.html	7:30 pm	Detroit Pistons		Boston Celtics		
/boxscores/201211180LAL.html	6:30 pm	Los Angeles Lakers		Houston Rockets		
/boxscores/201211180NYK.html	12:00 pm	New York Knicks		Indiana Pacers		
/boxscores/201211180OKC.html	6:00 pm	Oklahoma City Thunder		Golden State Warriors		
/boxscores/201211180PHI.html	6:00 pm	Philadelphia 76ers		Cleveland Cavaliers		
/boxscores/201211180POR.html	6:00 pm	Portland Trail Blazers		Chicago Bulls		
/boxscores/201211180SAC.html	3:00 pm	Sacramento Kings		Brooklyn Nets		
/boxscores/201211180TOR.html	1:00 pm	Toronto Raptors		Orlando Magic		
/boxscores/201211190ATL.html	7:30 pm	Atlanta Hawks		Orlando Magic		
/boxscores/201211190CHA.html	7:00 pm	Charlotte Bobcats		Milwaukee Bucks		
/boxscores/201211190DAL.html	7:30 pm	Dallas Mavericks		Golden State Warriors		
/boxscores/201211190MEM.html	7:00 pm	Memphis Grizzlies		Denver Nuggets		
/boxscores/201211190SAS.html	7:30 pm	San Antonio Spurs		Los Angeles Clippers		
/boxscores/201211190UTA.html	7:00 pm	Utah Jazz		Houston Rockets		
/boxscores/201211190WAS.html	7:00 pm	Washington Wizards		Indiana Pacers		
/boxscores/201211200LAL.html	7:30 pm	Los Angeles Lakers		Brooklyn Nets		
/boxscores/201211200NOH.html	7:00 pm	New Orleans Hornets		New York Knicks		
/boxscores/201211200PHI.html	7:00 pm	Philadelphia 76ers		Toronto Raptors		
/boxscores/201211210ATL.html	7:30 pm	Atlanta Hawks		Washington Wizards		
/boxscores/201211210BOS.html	7:30 pm	Boston Celtics		San Antonio Spurs		
/boxscores/201211210CHA.html	7:00 pm	Charlotte Bobcats		Toronto Raptors		
/boxscores/201211210CLE.html	7:00 pm	Cleveland Cavaliers		Philadelphia 76ers		
/boxscores/201211210DAL.html	7:30 pm	Dallas Mavericks		New York Knicks		
/boxscores/201211210GSW.html	7:30 pm	Golden State Warriors		Brooklyn Nets		
/boxscores/201211210HOU.html	7:00 pm	Houston Rockets		Chicago Bulls		
/boxscores/201211210IND.html	7:00 pm	Indiana Pacers		New Orleans Hornets		
/boxscores/201211210MIA.html	7:30 pm	Miami Heat		Milwaukee Bucks		
/boxscores/201211210MIN.html	7:00 pm	Minnesota Timberwolves		Denver Nuggets		
