url	game_start_time	home_team_name	home_team_score	visitor_team_name	visitor_team_score	overtime
/boxscores/201311010PHO.html	10:00 pm	Phoenix Suns		Utah Jazz		
/boxscores/201311010SAC.html	10:00 pm	Sacramento Kings		Los Angeles Clippers		
/boxscores/201311010WAS.html	7:00 pm	Washington Wizards		Philadelphia 76ers		
/boxscores/201311020DAL.html	8:30 pm	Dallas Mavericks		Memphis Grizzlies		
/boxscores/201311020GSW.html	10:30 pm	Golden State Warriors		Sacramento Kings		
/boxscores/201311020IND.html	7:00 pm	Indiana Pacers		Cleveland Cavaliers		
/boxscores/201311020MIL.html	8:30 pm	Milwaukee Bucks		Toronto Raptors		
/boxscores/201311020NOP.html	8:00 pm	New Orleans Pelicans		Charlotte Bobcats		
/boxscores/201311020PHI.html	7:30 pm	Philadelphia 76ers		Chicago Bulls		
/boxscores/201311020POR.html	10:00 pm	Portland Trail Blazers		San Antonio Spurs		
/boxscores/201311020UTA.html	9:00 pm	Utah Jazz		Houston Rockets		
/boxscores/201311030DET.html	6:00 pm	Detroit Pistons		Boston Celtics		
/boxscores/201311030LAL.html	9:30 pm	Los Angeles Lakers		Atlanta Hawks		
/boxscores/201311030MIA.html	6:00 pm	Miami Heat		Washington Wizards		
/boxscores/201311030NYK.html	7:30 pm	New York Knicks		Minnesota Timberwolves		
/boxscores/201311030OKC.html	7:00 pm	Oklahoma City Thunder		Phoenix Suns		
/boxscores/201311030ORL.html	6:00 pm	Orlando Magic		Brooklyn Nets		
/boxscores/201311040CLE.html	7:00 pm	Cleveland Cavaliers		Minnesota Timberwolves		
/boxscores/201311040LAC.html	10:30 pm	Los Angeles Clippers		Houston Rockets		
/boxscores/201311040MEM.html	8:00 pm	Memphis Grizzlies		Boston Celtics		
/boxscores/201311040PHI.html	7:00 pm	Philadelphia 76ers		Golden State Warriors		
/boxscores/201311050BRK.html	7:30 pm	Brooklyn Nets		Utah Jazz		
/boxscores/201311050DAL.html	8:30 pm	Dallas Mavericks		Los Angeles Lakers		
/boxscores/201311050DEN.html	9:00 pm	Denver Nuggets		San Antonio Spurs		
/boxscores/201311050DET.html	7:30 pm	Detroit Pistons		Indiana Pacers		
/boxscores/201311050NOP.html	8:00 pm	New Orleans Pelicans		Phoenix Suns		
/boxscores/201311050NYK.html	7:30 pm	New York Knicks		Charlotte Bobcats		
/boxscores/201311050POR.html	10:00 pm	Portland Trail Blazers		Houston Rockets		
/boxscores/201311050SAC.html	10:00 pm	Sacramento Kings		Atlanta Hawks		
/boxscores/201311050TOR.html	7:00 pm	Toronto Raptors		Miami Heat		
/boxscores/201311060BOS.html	7:30 pm	Boston Celtics		Utah Jazz		
/boxscores/201311060CHA.html	7:00 pm	Charlotte Bobcats		Toronto Raptors		
/boxscores/201311060IND.html	7:00 pm	Indiana Pacers		Chicago Bulls		
/boxscores/201311060MEM.html	8:00 pm	Memphis Grizzlies		New Orleans Pelicans		
/boxscores/201311060MIL.html	8:00 pm	Milwaukee Bucks		Cleveland Cavaliers		
/boxscores/201311060MIN.html	8:00 pm	Minnesota Timberwolves		Golden State Warriors		
/boxscores/201311060OKC.html	9:30 pm	Oklahoma City Thunder		Dallas Mavericks		
/boxscores/201311060ORL.html	7:00 pm	Orlando Magic		Los Angeles Clippers		
/boxscores/201311060PHI.html	7:00 pm	Philadelphia 76ers		Washington Wizards		
/boxscores/201311060SAS.html	8:30 pm	San Antonio Spurs		Phoenix Suns		
/boxscores/201311070DEN.html	9:00 pm	Denver Nuggets		Atlanta Hawks		
/boxscores/201311070HOU.html	9:30 pm	Houston Rockets		Los Angeles Lakers		
/boxscores/201311070MIA.html	7:00 pm	Miami Heat		Los Angeles Clippers		
/boxscores/201311080CHA.html	7:00 pm	Charlotte Bobcats		New York Knicks		
/boxscores/201311080CHI.html	8:00 pm	Chicago Bulls		Utah Jazz		
/boxscores/201311080DET.html	7:30 pm	Detroit Pistons		Oklahoma City Thunder		
/boxscores/201311080IND.html	7:00 pm	Indiana Pacers		Toronto Raptors		
/boxscores/201311080MIN.html	8:00 pm	Minnesota Timberwolves		Dallas Mavericks		
/boxscores/201311080NOP.html	8:00 pm	New Orleans Pelicans		Los Angeles Lakers		
/boxscores/201311080ORL.html	7:00 pm	Orlando Magic		Boston Celtics		
/boxscores/201311080PHI.html	7:00 pm	Philadelphia 76ers		Cleveland Cavaliers		
/boxscores/201311080PHO.html	9:00 pm	Phoenix Suns		Denver Nuggets		
/boxscores/201311080POR.html	10:00 pm	Portland Trail Blazers		Sacramento Kings		
/boxscores/201311080SAS.html	8:30 pm	San Antonio Spurs		Golden State Warriors		
/boxscores/201311080WAS.html	7:00 pm	Washington Wizards		Brooklyn Nets		
