url	game_start_time	home_team_name	home_team_score	visitor_team_name	visitor_team_score	overtime
/boxscores/201610250CLE.html	7:30 pm	Cleveland Cavaliers		New York Knicks		
/boxscores/201610250GSW.html	10:30 pm	Golden State Warriors		San Antonio Spurs		
/boxscores/201610250POR.html	10:00 pm	Portland Trail Blazers		Utah Jazz		
/boxscores/201610260BOS.html	7:30 pm	Boston Celtics		Brooklyn Nets		
/boxscores/201610260IND.html	7:00 pm	Indiana Pacers		Dallas Mavericks		
/boxscores/201610260LAL.html	10:30 pm	Los Angeles Lakers		Houston Rockets		
/boxscores/201610260MEM.html	8:00 pm	Memphis Grizzlies		Minnesota Timberwolves		
/boxscores/201610260MIL.html	8:00 pm	Milwaukee Bucks		Charlotte Hornets		
/boxscores/201610260NOP.html	8:00 pm	New Orleans Pelicans		Denver Nuggets		
/boxscores/201610260ORL.html	7:00 pm	Orlando Magic		Miami Heat		
/boxscores/201610260PHI.html	8:00 pm	Philadelphia 76ers		Oklahoma City Thunder		
/boxscores/201610260PHO.html	10:00 pm	Phoenix Suns		Sacramento Kings		
/boxscores/201610260TOR.html	7:30 pm	Toronto Raptors		Detroit Pistons		
/boxscores/201610270ATL.html	7:30 pm	Atlanta Hawks		Washington Wizards		
/boxscores/201610270CHI.html	8:00 pm	Chicago Bulls		Boston Celtics		
/boxscores/201610270POR.html	10:30 pm	Portland Trail Blazers		Los Angeles Clippers		
/boxscores/201610270SAC.html	10:30 pm	Sacramento Kings		San Antonio Spurs		
/boxscores/201610280BRK.html	7:30 pm	Brooklyn Nets		Indiana Pacers		
/boxscores/201610280DAL.html	8:30 pm	Dallas Mavericks		Houston Rockets		
/boxscores/201610280DET.html	7:30 pm	Detroit Pistons		Orlando Magic		
/boxscores/201610280MIA.html	8:00 pm	Miami Heat		Charlotte Hornets		
/boxscores/201610280NOP.html	9:30 pm	New Orleans Pelicans		Golden State Warriors		
/boxscores/201610280OKC.html	8:00 pm	Oklahoma City Thunder		Phoenix Suns		
/boxscores/201610280TOR.html	7:00 pm	Toronto Raptors		Cleveland Cavaliers		
/boxscores/201610280UTA.html	9:00 pm	Utah Jazz		Los Angeles Lakers		
/boxscores/201610290CHI.html	8:00 pm	Chicago Bulls		Indiana Pacers		
/boxscores/201610290CHO.html	7:00 pm	Charlotte Hornets		Boston Celtics		
/boxscores/201610290CLE.html	7:30 pm	Cleveland Cavaliers		Orlando Magic		
/boxscores/201610290DEN.html	9:00 pm	Denver Nuggets		Portland Trail Blazers		
/boxscores/201610290MIL.html	8:00 pm	Milwaukee Bucks		Brooklyn Nets		
/boxscores/201610290NYK.html	7:30 pm	New York Knicks		Memphis Grizzlies		
/boxscores/201610290PHI.html	12:30 pm	Philadelphia 76ers		Atlanta Hawks		
/boxscores/201610290SAC.html	10:30 pm	Sacramento Kings		Minnesota Timberwolves		
/boxscores/201610290SAS.html	8:00 pm	San Antonio Spurs		New Orleans Pelicans		
