ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
2,0,4,8,0,,0,.444,18,4,.667,6,201411190ORL,30:12,0,1,Blake Griffin,griffbl01,+12,20,0,lac,1,4
9,0,3,8,0,.000,2,.615,13,0,,0,201411190ORL,30:12,1,1,Chris Paul,paulch01,+12,16,2,lac,2,4
1,1,5,4,3,.600,5,.500,8,2,1.000,2,201411190ORL,27:28,0,3,Matt Barnes,barnema02,+9,13,2,lac,0,5
0,2,10,1,0,,0,.500,2,0,.000,2,201411190ORL,24:15,1,2,DeAndre Jordan,jordade01,+1,2,0,lac,0,11
1,0,0,1,1,.500,2,.167,6,0,,0,201411190ORL,21:03,0,1,J.J. Redick,redicjj01,+8,3,0,lac,1,0
3,1,4,8,2,.667,3,.667,12,4,1.000,4,201411190ORL,23:31,0,3,Jamal Crawford,crawfja01,+20,22,1,lac,1,4
1,4,6,3,2,.667,3,.500,6,2,1.000,2,201411190ORL,20:59,0,1,Spencer Hawes,hawessp01,+19,10,0,lac,0,6
5,0,3,5,3,1.000,3,.714,7,0,,0,201411190ORL,17:48,0,2,Jordan Farmar,farmajo01,+12,13,1,lac,1,3
1,0,1,3,0,,0,.500,6,0,,0,201411190ORL,16:58,0,4,Glen Davis,davisgl01,+16,6,0,lac,1,1
1,0,1,2,1,.500,2,.667,3,0,,0,201411190ORL,15:05,0,1,Hedo Turkoglu,turkohe01,+12,5,1,lac,0,1
0,0,0,1,0,.000,1,.500,2,0,,0,201411190ORL,5:17,0,0,Jared Cunningham,cunnija01,-1,2,0,lac,0,0
0,0,0,1,0,,0,1.000,1,0,,0,201411190ORL,3:36,0,0,Reggie Bullock,bullore01,0,2,0,lac,0,0
0,1,0,0,0,,0,,0,0,,0,201411190ORL,3:36,0,0,Ekpe Udoh,udohek01,0,0,1,lac,0,0
2,1,7,3,3,.429,7,.375,8,1,1.000,1,201411190ORL,33:46,0,4,Channing Frye,fryech01,-14,10,1,orl,2,7
1,0,2,8,2,1.000,2,.571,14,7,1.000,7,201411190ORL,30:53,1,1,Tobias Harris,harrito02,-19,25,1,orl,0,3
4,0,2,2,1,.200,5,.200,10,1,.500,2,201411190ORL,30:45,1,4,Willie Green,greenwi01,-17,6,1,orl,0,3
2,0,13,8,0,,0,.571,14,3,.750,4,201411190ORL,30:34,1,1,Nikola Vucevic,vucevni01,-10,19,1,orl,3,14
4,0,3,3,0,.000,3,.231,13,1,.500,2,201411190ORL,28:42,1,3,Victor Oladipo,oladivi01,-7,7,1,orl,4,4
0,0,2,2,1,.333,3,.250,8,0,,0,201411190ORL,29:07,1,3,Maurice Harkless,harklma01,-10,5,0,orl,0,3
5,0,3,3,1,1.000,1,.375,8,0,,0,201411190ORL,16:12,4,1,Elfrid Payton,paytoel01,-9,7,0,orl,3,7
0,0,1,5,0,.000,1,.556,9,0,,0,201411190ORL,16:10,1,0,Andrew Nicholson,nichoan01,-17,10,0,orl,1,2
3,0,0,0,0,.000,2,.000,2,0,,0,201411190ORL,13:47,0,0,Luke Ridnour,ridnolu01,-16,0,0,orl,0,0
0,0,4,0,0,,0,,0,1,.500,2,201411190ORL,10:04,1,0,Dewayne Dedmon,dedmode01,-1,1,0,orl,0,5
,,,,,,,,,,,,201411190ORL,Did Not Play,,,Aaron Gordon,gordoaa01,,,,orl,,
,,,,,,,,,,,,201411190ORL,Did Not Play,,,Evan Fournier,fournev01,,,,orl,,
,,,,,,,,,,,,201411190ORL,Did Not Play,,,Ben Gordon,gordobe01,,,,orl,,
