ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
2,5,6,11,6,.667,9,.500,22,4,.800,5,201604220MEM,42:23,1,0,Kawhi Leonard,leonaka01,+4,32,4,sas,0,7
1,1,7,5,0,,0,.500,10,6,.857,7,201604220MEM,33:09,3,4,LaMarcus Aldridge,aldrila01,+3,16,0,sas,1,10
0,3,4,4,3,.429,7,.400,10,0,,0,201604220MEM,25:00,0,2,Danny Green,greenda02,+11,11,1,sas,1,4
7,0,2,1,0,.000,2,.125,8,0,,0,201604220MEM,24:24,0,3,Tony Parker,parketo01,-11,2,1,sas,3,2
2,2,3,2,0,,0,.667,3,2,1.000,2,201604220MEM,13:32,0,3,Tim Duncan,duncati01,-8,6,0,sas,1,3
5,0,2,3,3,.750,4,.600,5,2,1.000,2,201604220MEM,26:57,1,4,Manu Ginobili,ginobma01,+10,11,1,sas,0,3
2,1,2,4,0,.000,1,.571,7,0,,0,201604220MEM,20:37,0,2,Boris Diaw,diawbo01,+16,8,1,sas,1,2
2,0,1,1,0,.000,3,.200,5,0,,0,201604220MEM,19:55,0,0,Patty Mills,millspa02,+14,2,1,sas,1,1
2,0,3,2,0,,0,.400,5,0,.000,2,201604220MEM,17:56,2,0,David West,westda01,+8,4,1,sas,0,5
1,0,2,2,0,,0,1.000,2,0,.000,1,201604220MEM,14:11,0,2,Kyle Anderson,anderky01,0,4,0,sas,1,2
0,0,0,0,0,,0,,0,0,,0,201604220MEM,1:56,0,0,Jonathon Simmons,simmojo02,-2,0,0,sas,0,0
,,,,,,,,,,,,201604220MEM,Did Not Play,,,Kevin Martin,martike02,,,,sas,,
,,,,,,,,,,,,201604220MEM,Did Not Play,,,Boban Marjanovic,marjabo01,,,,sas,,
4,0,9,6,1,.167,6,.400,15,4,.800,5,201604220MEM,41:36,2,5,Matt Barnes,barnema02,-13,17,2,mem,2,11
1,0,6,9,0,,0,.429,21,2,1.000,2,201604220MEM,39:11,5,4,Zach Randolph,randoza01,+2,20,0,mem,3,11
1,1,2,0,0,.000,3,.000,8,5,.833,6,201604220MEM,35:35,2,2,Tony Allen,allento01,+2,5,1,mem,1,4
6,0,2,3,1,.250,4,.375,8,0,,0,201604220MEM,33:06,0,0,Jordan Farmar,farmajo01,0,7,1,mem,1,2
0,0,5,3,1,.500,2,.250,12,4,1.000,4,201604220MEM,26:29,3,1,Vince Carter,cartevi01,-8,11,0,mem,1,8
1,0,2,4,0,.000,1,.571,7,0,,0,201604220MEM,22:13,1,2,Lance Stephenson,stephla01,-1,8,0,mem,1,3
2,0,3,3,1,.500,2,.750,4,0,,0,201604220MEM,14:54,1,1,Xavier Munford,munfoxa02,-9,7,0,mem,1,4
0,1,1,1,0,,0,.500,2,0,,0,201604220MEM,13:45,0,1,Chris Andersen,anderch01,-9,2,0,mem,1,1
2,2,3,5,0,,0,1.000,5,0,.000,2,201604220MEM,13:11,1,1,JaMychal Green,greenja01,-9,10,0,mem,3,4
,,,,,,,,,,,,201604220MEM,Did Not Play,,,Brandan Wright,wrighbr03,,,,mem,,
,,,,,,,,,,,,201604220MEM,Did Not Play,,,P.J. Hairston,hairspj02,,,,mem,,
,,,,,,,,,,,,201604220MEM,Did Not Play,,,Mike Conley,conlemi01,,,,mem,,
,,,,,,,,,,,,201604220MEM,Did Not Play,,,Jarell Martin,martija01,,,,mem,,
