ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
1,0,1,5,2,.500,4,.357,14,2,1.000,2,201612300GSW,29:45,1,1,Wesley Matthews,matthwe02,-12,14,3,dal,0,2
1,1,3,11,3,.429,7,.611,18,0,,0,201612300GSW,27:37,0,0,Harrison Barnes,barneha02,-17,25,2,dal,1,3
1,1,5,3,0,.000,3,.250,12,5,1.000,5,201612300GSW,23:26,0,2,Dirk Nowitzki,nowitdi01,-17,11,0,dal,3,5
0,0,2,0,0,.000,2,.000,3,0,,0,201612300GSW,21:00,0,0,Dorian Finney-Smith,finnedo01,-19,0,0,dal,1,2
4,0,2,4,1,.333,3,.571,7,2,.667,3,201612300GSW,20:28,0,0,Deron Williams,willide01,-20,11,1,dal,2,2
5,0,0,4,1,.333,3,.500,8,2,1.000,2,201612300GSW,26:08,1,1,Seth Curry,curryse01,-4,11,2,dal,0,1
1,2,10,5,0,,0,.714,7,0,,0,201612300GSW,25:49,3,1,Dwight Powell,poweldw01,+12,10,0,dal,0,13
2,0,1,1,1,.250,4,.250,4,1,.500,2,201612300GSW,17:39,1,2,Devin Harris,harride01,-6,4,0,dal,1,2
1,2,2,3,0,.000,4,.273,11,0,,0,201612300GSW,14:44,2,3,Justin Anderson,anderju01,+9,6,2,dal,0,4
5,0,1,1,0,.000,1,.167,6,1,1.000,1,201612300GSW,12:00,0,1,Pierre Jackson,jackspi01,+13,3,1,dal,0,1
1,1,1,1,0,.000,1,.500,2,0,,0,201612300GSW,12:00,2,1,Nicolas Brussino,brussni01,+13,2,0,dal,1,3
0,0,0,1,0,,0,1.000,1,0,,0,201612300GSW,6:21,0,0,A.J. Hammons,hammoaj01,+9,2,0,dal,0,0
0,0,1,0,0,,0,,0,0,,0,201612300GSW,3:03,1,0,Salah Mejri,mejrisa01,-6,0,0,dal,1,2
2,1,4,11,5,.455,11,.579,19,2,1.000,2,201612300GSW,35:42,0,0,Klay Thompson,thompkl01,+4,29,1,gsw,2,4
10,0,11,7,2,.286,7,.500,14,3,.750,4,201612300GSW,35:26,0,0,Kevin Durant,duranke01,+9,19,0,gsw,4,11
5,0,4,5,3,.500,6,.417,12,1,1.000,1,201612300GSW,30:08,0,2,Stephen Curry,curryst01,+14,14,1,gsw,1,4
7,0,6,6,1,.333,3,.600,10,0,,0,201612300GSW,26:33,2,3,Draymond Green,greendr01,+17,13,0,gsw,3,8
0,0,4,1,0,,0,.167,6,0,,0,201612300GSW,18:20,1,1,Zaza Pachulia,pachuza01,+11,2,1,gsw,0,5
1,0,1,3,0,.000,3,.375,8,1,.500,2,201612300GSW,23:37,1,0,Ian Clark,clarkia01,-1,7,1,gsw,1,2
2,1,4,0,0,.000,3,.000,3,2,1.000,2,201612300GSW,22:42,0,2,Andre Iguodala,iguodan01,-2,2,0,gsw,0,4
0,2,2,3,0,,0,.600,5,0,,0,201612300GSW,17:52,0,1,Shaun Livingston,livinsh01,-5,6,0,gsw,0,2
4,0,2,2,0,,0,1.000,2,4,1.000,4,201612300GSW,14:35,0,2,David West,westda01,+4,8,1,gsw,1,2
0,0,1,4,0,,0,1.000,4,0,,0,201612300GSW,10:36,0,1,JaVale McGee,mcgeeja01,+1,8,0,gsw,0,1
0,0,0,0,0,,0,.000,1,0,,0,201612300GSW,4:29,0,0,Kevon Looney,looneke01,-7,0,0,gsw,1,0
,,,,,,,,,,,,201612300GSW,Did Not Play,,,Damian Jones,jonesda03,,,,gsw,,
,,,,,,,,,,,,201612300GSW,Did Not Play,,,James Michael McAdoo,mcadoja01,,,,gsw,,
