ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
5,0,9,4,2,.333,6,.286,14,2,1.000,2,201411230BOS,37:54,0,2,Damian Lillard,lillada01,+3,12,4,por,5,9
2,1,11,7,0,,0,.333,21,6,.857,7,201411230BOS,37:15,3,1,LaMarcus Aldridge,aldrila01,+5,20,0,por,1,14
3,0,4,4,2,.667,3,.571,7,0,,0,201411230BOS,35:41,1,1,Wesley Matthews,matthwe02,+1,10,1,por,2,5
3,0,4,5,2,.333,6,.455,11,0,,0,201411230BOS,32:22,1,2,Nicolas Batum,batumni01,+4,12,1,por,0,5
2,1,5,4,0,,0,.667,6,1,.500,2,201411230BOS,31:00,2,1,Robin Lopez,lopezro01,+2,9,0,por,4,7
5,0,2,5,1,.500,2,.625,8,0,,0,201411230BOS,21:26,0,0,Steve Blake,blakest01,+5,11,0,por,1,2
0,0,5,6,0,,0,.462,13,4,1.000,4,201411230BOS,17:56,3,2,Chris Kaman,kamanch01,+4,16,1,por,1,8
0,0,1,0,0,.000,1,.000,1,0,,0,201411230BOS,10:38,0,2,Allen Crabbe,crabbal01,+2,0,0,por,0,1
0,0,0,2,0,,0,.500,4,0,,0,201411230BOS,9:49,0,2,Joel Freeland,freeljo01,+1,4,0,por,1,0
0,1,4,0,0,.000,1,.000,1,0,,0,201411230BOS,5:59,0,0,Dorell Wright,wrighdo01,+3,0,0,por,1,4
,,,,,,,,,,,,201411230BOS,Did Not Play,,,Will Barton,bartowi01,,,,por,,
,,,,,,,,,,,,201411230BOS,Did Not Play,,,Thomas Robinson,robinth01,,,,por,,
,,,,,,,,,,,,201411230BOS,Did Not Play,,,Meyers Leonard,leoname01,,,,por,,
8,0,6,6,0,,0,.667,9,1,.500,2,201411230BOS,34:56,0,2,Rajon Rondo,rondora01,-5,13,2,bos,2,6
0,0,1,7,1,.250,4,.438,16,4,.800,5,201411230BOS,34:07,2,2,Jeff Green,greenje02,-4,19,2,bos,1,3
4,1,5,8,3,.333,9,.364,22,0,,0,201411230BOS,33:52,2,2,Jared Sullinger,sullija01,+5,19,1,bos,0,7
0,0,3,6,1,.125,8,.333,18,0,,0,201411230BOS,33:24,0,1,Avery Bradley,bradlav01,+5,13,0,bos,0,3
1,0,6,0,0,.000,1,.000,3,0,,0,201411230BOS,27:20,2,3,Kelly Olynyk,olynyke01,-15,0,2,bos,3,8
0,0,7,3,0,,0,.429,7,2,1.000,2,201411230BOS,23:27,1,2,Brandon Bass,bassbr01,-1,8,1,bos,0,8
1,0,0,2,0,,0,.400,5,0,,0,201411230BOS,14:33,0,0,Marcus Thornton,thornma01,-11,4,0,bos,0,0
3,0,4,4,0,.000,1,.444,9,2,1.000,2,201411230BOS,14:25,1,0,Evan Turner,turneev01,-4,10,1,bos,1,5
0,0,0,0,0,,0,.000,1,0,,0,201411230BOS,12:35,1,1,Gerald Wallace,wallage01,+1,0,2,bos,1,1
0,0,2,1,0,,0,.200,5,0,.000,1,201411230BOS,11:21,3,2,Tyler Zeller,zellety01,-1,2,1,bos,0,5
,,,,,,,,,,,,201411230BOS,Did Not Play,,,Phil Pressey,pressph01,,,,bos,,
,,,,,,,,,,,,201411230BOS,Did Not Play,,,Dwight Powell,poweldw01,,,,bos,,
