ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
4,0,3,2,1,.500,2,.333,6,5,1.000,5,201511070SAS,32:28,1,3,Nicolas Batum,batumni01,-20,10,3,cho,4,4
1,0,6,6,0,,0,.545,11,1,.500,2,201511070SAS,30:14,1,4,Al Jefferson,jeffeal01,+4,13,0,cho,0,7
4,0,1,11,2,1.000,2,.733,15,3,.750,4,201511070SAS,29:17,0,0,Kemba Walker,walkeke02,+4,27,2,cho,3,1
0,0,4,4,1,.500,2,.571,7,0,,0,201511070SAS,26:55,0,1,Marvin Williams,willima02,+7,9,1,cho,0,4
0,0,3,1,0,.000,3,.200,5,2,1.000,2,201511070SAS,16:44,0,2,P.J. Hairston,hairspj02,+16,4,0,cho,1,3
1,0,3,0,0,.000,1,.000,4,2,.500,4,201511070SAS,24:24,2,2,Cody Zeller,zelleco01,-38,2,1,cho,1,5
0,0,2,2,0,.000,3,.250,8,0,.000,2,201511070SAS,23:11,2,2,Jeremy Lamb,lambje01,-29,4,0,cho,2,4
2,0,3,4,1,.250,4,.400,10,3,.500,6,201511070SAS,21:59,0,2,Jeremy Lin,linje01,-37,12,0,cho,2,3
0,0,2,2,0,,0,.667,3,0,,0,201511070SAS,13:55,0,1,Spencer Hawes,hawessp01,-28,4,0,cho,2,2
2,0,0,2,1,1.000,1,.667,3,3,.750,4,201511070SAS,9:20,0,1,Frank Kaminsky,kaminfr01,+9,8,0,cho,0,0
0,0,0,0,0,.000,1,.000,1,1,.500,2,201511070SAS,3:51,0,0,Brian Roberts,roberbr01,+4,1,0,cho,0,0
1,0,0,0,0,,0,,0,0,,0,201511070SAS,3:51,0,0,Troy Daniels,danietr01,+4,0,0,cho,0,0
0,0,0,0,0,,0,,0,0,,0,201511070SAS,3:51,0,0,Tyler Hansbrough,hansbty01,+4,0,0,cho,0,0
2,0,4,10,2,.500,4,.625,16,1,.500,2,201511070SAS,34:06,0,3,Kawhi Leonard,leonaka01,+11,23,2,sas,0,4
4,1,2,2,1,.333,3,.286,7,3,1.000,3,201511070SAS,27:04,1,2,Danny Green,greenda02,-3,8,2,sas,0,3
6,0,1,2,0,,0,.400,5,3,.500,6,201511070SAS,25:25,0,1,Tony Parker,parketo01,-15,7,2,sas,4,1
2,0,7,4,0,,0,.800,5,3,.750,4,201511070SAS,24:26,1,2,Tim Duncan,duncati01,-4,11,0,sas,3,8
2,0,5,6,0,,0,.600,10,4,1.000,4,201511070SAS,17:19,0,4,LaMarcus Aldridge,aldrila01,-1,16,0,sas,1,5
6,0,8,4,0,.000,1,.571,7,1,.500,2,201511070SAS,28:43,1,2,David West,westda01,+14,9,0,sas,1,9
4,0,2,6,3,.500,6,.667,9,0,,0,201511070SAS,18:44,0,3,Patty Mills,millspa02,+39,15,2,sas,1,2
3,0,3,5,3,.500,6,.556,9,0,,0,201511070SAS,18:07,0,2,Manu Ginobili,ginobma01,+34,13,3,sas,1,3
4,1,1,2,0,,0,.667,3,0,,0,201511070SAS,15:42,1,2,Boris Diaw,diawbo01,+31,4,0,sas,0,2
2,1,1,2,0,,0,.400,5,0,.000,2,201511070SAS,12:55,1,1,Kyle Anderson,anderky01,+1,4,0,sas,0,2
0,0,1,1,0,.000,1,.333,3,0,,0,201511070SAS,9:50,0,0,Rasual Butler,butlera01,0,2,0,sas,1,1
0,0,1,0,0,,0,,0,0,,0,201511070SAS,3:51,0,1,Ray McCallum,mccalra01,-4,0,0,sas,0,1
0,0,0,1,0,,0,.500,2,0,,0,201511070SAS,3:48,1,3,Boban Marjanovic,marjabo01,-3,2,0,sas,0,1
