ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
1,1,8,6,2,.667,3,.545,11,2,.667,3,201402180MIL,31:58,1,1,Tobias Harris,harrito02,-4,16,0,orl,2,9
1,0,1,9,3,.500,6,.600,15,0,,0,201402180MIL,31:28,0,3,Arron Afflalo,afflaar01,+2,21,0,orl,3,1
13,1,2,4,1,.167,6,.333,12,0,,0,201402180MIL,30:09,0,3,Jameer Nelson,nelsoja01,+1,9,1,orl,0,2
0,1,7,7,0,,0,.700,10,5,.833,6,201402180MIL,27:04,2,4,Nikola Vucevic,vucevni01,+4,19,1,orl,2,9
1,0,2,1,0,,0,.250,4,0,,0,201402180MIL,12:50,0,3,Glen Davis,davisgl01,+7,2,2,orl,1,2
0,1,1,3,1,.500,2,.600,5,0,.000,3,201402180MIL,25:48,1,1,Maurice Harkless,harklma01,-5,7,2,orl,0,2
0,2,1,6,3,.500,6,.500,12,2,1.000,2,201402180MIL,23:12,0,2,E'Twaun Moore,mooreet01,-10,17,1,orl,3,1
3,0,0,3,0,.000,1,.429,7,0,,0,201402180MIL,21:48,1,2,Victor Oladipo,oladivi01,-7,6,1,orl,2,1
7,2,7,0,0,,0,.000,2,0,.000,2,201402180MIL,21:00,2,2,Kyle O'Quinn,oquinky01,-7,0,0,orl,1,9
0,0,1,1,1,1.000,1,.500,2,0,,0,201402180MIL,14:43,0,3,Doron Lamb,lambdo01,-1,3,0,orl,0,1
,,,,,,,,,,,,201402180MIL,Did Not Play,,,Ronnie Price,pricero01,,,,orl,,
,,,,,,,,,,,,201402180MIL,Did Not Play,,,Jason Maxiell,maxieja01,,,,orl,,
,,,,,,,,,,,,201402180MIL,Did Not Play,,,Andrew Nicholson,nichoan01,,,,orl,,
8,0,5,6,1,.500,2,.462,13,2,1.000,2,201402180MIL,39:49,2,2,Nate Wolters,woltena01,-1,15,2,mil,1,7
7,1,0,3,0,.000,4,.231,13,12,1.000,12,201402180MIL,34:48,0,0,Brandon Knight,knighbr03,0,18,2,mil,2,0
2,0,1,5,2,.667,3,.500,10,0,,0,201402180MIL,22:19,0,1,Khris Middleton,middlkh01,-7,12,0,mil,0,1
2,0,7,3,1,.500,2,.333,9,2,1.000,2,201402180MIL,19:06,1,2,Ersan Ilyasova,ilyaser01,-6,9,0,mil,2,8
0,0,2,2,0,,0,.667,3,2,.500,4,201402180MIL,15:41,0,1,Zaza Pachulia,pachuza01,-12,6,0,mil,1,2
1,2,4,4,0,,0,.444,9,1,.250,4,201402180MIL,32:02,6,3,John Henson,hensojo01,+15,9,0,mil,0,10
0,0,6,7,7,.538,13,.467,15,0,,0,201402180MIL,29:11,1,3,Caron Butler,butleca01,+11,21,0,mil,3,7
4,1,6,2,1,1.000,1,.667,3,3,.500,6,201402180MIL,26:47,2,2,Giannis Antetokounmpo,antetgi01,+16,8,2,mil,0,8
1,0,0,3,0,.000,1,.429,7,0,,0,201402180MIL,20:17,0,1,Gary Neal,nealga01,+4,6,2,mil,1,0
,,,,,,,,,,,,201402180MIL,Did Not Play,,,Miroslav Raduljica,radulmi01,,,,mil,,
,,,,,,,,,,,,201402180MIL,Did Not Play,,,Ekpe Udoh,udohek01,,,,mil,,
,,,,,,,,,,,,201402180MIL,Did Not Play,,,O.J. Mayo,mayooj01,,,,mil,,
,,,,,,,,,,,,201402180MIL,Did Not Play,,,Luke Ridnour,ridnolu01,,,,mil,,
