ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,gm,mp,orb,pf,player,player_id,plus_minus,pts,stl,team,tov,trb
3,0,9,6,0,.000,3,.545,11,1,.333,3,201604030BRK,34:00,2,2,Jordan Hamilton,hamiljo02,+9,13,0,nop,2,11
4,1,1,8,3,.600,5,.533,15,2,.667,3,201604030BRK,33:12,0,5,Luke Babbitt,babbilu01,+4,21,0,nop,0,1
3,0,2,6,1,.333,3,.545,11,1,.333,3,201604030BRK,31:52,2,3,Dante Cunningham,cunnida01,+13,14,1,nop,3,4
4,0,4,1,0,.000,2,.167,6,0,,0,201604030BRK,26:48,0,0,Toney Douglas,douglto01,+1,2,1,nop,2,4
0,0,0,0,0,,0,,0,0,,0,201604030BRK,4:01,0,2,Omer Asik,asikom01,-5,0,0,nop,2,0
13,0,2,7,2,.667,3,.636,11,3,.750,4,201604030BRK,37:21,0,3,Tim Frazier,fraziti01,+30,19,3,nop,0,2
1,4,5,7,0,,0,.778,9,2,1.000,2,201604030BRK,29:03,1,1,Alexis Ajinca,ajincal01,+17,16,1,nop,2,6
2,1,3,4,2,.333,6,.400,10,4,.667,6,201604030BRK,28:47,0,3,James Ennis,ennisja01,+19,14,4,nop,0,3
1,1,1,3,0,,0,1.000,3,1,.500,2,201604030BRK,14:56,0,2,Kendrick Perkins,perkike01,+7,7,1,nop,1,1
,,,,,,,,,,,,201604030BRK,Did Not Play,,,Ryan Anderson,anderry01,,,,nop,,
,,,,,,,,,,,,201604030BRK,Did Not Play,,,Alonzo Gee,geeal01,,,,nop,,
,,,,,,,,,,,,201604030BRK,Did Not Play,,,Norris Cole,coleno01,,,,nop,,
,,,,,,,,,,,,201604030BRK,Did Not Play,,,Jrue Holiday,holidjr01,,,,nop,,
9,0,2,3,0,.000,2,.250,12,0,,0,201604030BRK,33:13,2,1,Shane Larkin,larkish01,-2,6,2,brk,2,4
1,0,5,5,0,,0,.455,11,2,1.000,2,201604030BRK,30:04,2,2,Henry Sims,simshe01,+2,12,1,brk,2,7
0,0,8,4,0,,0,.500,8,3,.333,9,201604030BRK,26:57,7,3,Thomas Robinson,robinth01,+1,11,0,brk,2,15
3,1,1,4,2,.286,7,.400,10,0,,0,201604030BRK,26:51,0,0,Wayne Ellington,ellinwa01,+6,10,1,brk,2,1
0,2,1,2,1,.500,2,.333,6,3,.750,4,201604030BRK,19:00,1,1,Rondae Hollis-Jefferson,holliro01,+12,8,1,brk,1,2
0,0,2,6,3,.750,4,.600,10,0,,0,201604030BRK,26:09,1,3,Sean Kilpatrick,kilpase01,-27,15,0,brk,4,3
0,0,2,2,0,.000,3,.222,9,2,1.000,2,201604030BRK,21:03,3,2,Chris McCullough,mcculch01,-20,6,0,brk,1,5
6,0,4,1,0,.000,1,.200,5,0,,0,201604030BRK,19:58,1,2,Sergey Karasev,karasse01,-26,2,0,brk,2,5
1,0,1,4,2,.500,4,.571,7,2,1.000,2,201604030BRK,18:50,0,6,Markel Brown,brownma02,-20,12,0,brk,4,1
0,0,3,2,0,,0,.286,7,1,.500,2,201604030BRK,17:55,4,3,Willie Reed,reedwi02,-21,5,0,brk,0,7
,,,,,,,,,,,,201604030BRK,Did Not Play,,,Bojan Bogdanovic,bogdabo02,,,,brk,,
,,,,,,,,,,,,201604030BRK,Did Not Play,,,Donald Sloan,sloando01,,,,brk,,
,,,,,,,,,,,,201604030BRK,Did Not Play,,,Brook Lopez,lopezbr01,,,,brk,,
